year,DOY
1881,112.0
1882,97.0
1883,107.0
1884,109.0
1885,113.0
1886,108.0
1887,109.0
1888,107.0
1889,109.0
1890,98.0
1891,99.0
1892,115.0
1893,109.0
1894,98.0
1895,0.0
1896,106.0
1897,106.0
1898,108.0
1899,99.0
1900,102.0
1901,102.0
1902,98.0
1903,99.0
1904,108.0
1905,105.0
1906,105.0
1907,103.0
1908,102.0
1909,108.0
1910,104.0
1911,98.0
1912,105.0
1913,103.0
1914,102.0
1915,102.0
1916,112.0
1917,103.0
1918,104.0
1919,0.0
1920,104.0
1921,0.0
1922,101.0
1923,97.0
1924,111.0
1925,108.0
1926,108.0
1927,107.0
1928,107.0
1929,103.0
1930,95.0
1931,105.0
1932,105.0
1933,106.0
1934,104.0
1935,102.0
1936,111.0
1937,100.0
1938,98.0
1939,104.0
1940,110.0
1941,100.0
1942,96.0
1943,101.0
1944,100.0
1945,0.0
1946,97.0
1947,107.0
1948,102.0
1949,107.0
1950,99.0
1951,98.0
1952,105.0
1953,101.0
1954,98.0
1955,97.0
1956,99.0
1957,103.0
1958,99.0
1959,92.0
1960,95.0
1961,99.0
1962,102.0
1963,101.0
1964,99.0
1965,110.0
1966,97.0
1967,97.0
1968,99.0
1969,101.0
1970,107.0
1971,98.0
1972,99.0
1973,97.0
1974,99.0
1975,100.0
1976,99.0
1977,93.0
1978,104.0
1979,97.0
1980,102.0
1981,99.0
1982,93.0
1983,99.0
1984,109.0
1985,99.0
1986,102.0
1987,95.0
1988,106.0
1989,93.0
1990,88.0
1991,97.0
1992,94.0
1993,97.0
1994,99.0
1995,99.0
1996,103.0
1997,97.0
1998,91.0
1999,94.0
2000,100.0
2001,96.0
2002,91.0
2003,98.0
2004,92.0
2005,99.0
2006,98.0
2007,97.0
2008,95.0
2009,95.0
2010,95.0
2011,99.0
2012,101.0
2013,93.0
2014,94.0
2015,93.0
