year,month,day,TAVG,TMAX,TMIN,,,0,,,
1881,1,1,2,9.7,-6.2,,,1,,,
1881,1,2,2.4,6.3,-0.7,,index//120,2,,2//120,(index+120)//120
1881,1,3,1.4,9.7,-3.4,,,3,,,
1881,1,4,0.6,10.1,-5.8,,,4,,,
1881,1,5,0.8,11.3,-5.8,,,5,,,
1881,1,6,2,11.3,-4.3,,,6,,,
1881,1,7,2,7.3,-2.2,,,7,,,
1881,1,8,0.5,6.6,-6.8,,,8,,,
1881,1,9,1.9,8.4,-6.8,,,9,,,
1881,1,10,1.5,8.4,-5.3,,,10,,,
1881,1,11,-1.2,5.5,-9.2,,,11,,,
1881,1,12,-1.6,6.1,-9.2,,,12,,,
1881,1,13,0.2,6.1,-6.9,,,13,,,
1881,1,14,0.2,7.5,-4.8,,,14,,,
1881,1,15,-0.5,9.3,-5.9,,,15,,,
1881,1,16,1.4,9.3,-5.9,,,16,,,
1881,1,17,2.3,8.3,-4.2,,,17,,,
1881,1,18,1.7,8.3,-2.4,,,18,,,
1881,1,19,1.4,6.7,-2.4,,,19,,,
1881,1,20,0.8,6.5,-3.8,,,20,,,
1881,1,21,0.5,6.5,-6.3,,,21,,,
1881,1,22,-0.2,2.9,-6.3,,,22,,,
1881,1,23,0.1,6.6,-4.6,,,23,,,
1881,1,24,0.8,6.6,-3.3,,,24,,,
1881,1,25,-1,4.5,-5.2,,,25,,,
1881,1,26,-1.7,2.2,-5.7,,,26,,,
1881,1,27,-0.8,6.2,-5.7,,,27,,,
1881,1,28,1.6,10.1,-5.3,,,28,,,
1881,1,29,2.9,10.1,-5.3,,,29,,,
1881,1,30,0.2,5.9,-5.2,,,30,,,
1881,1,31,-2.3,2.8,-6.5,,,31,,,
1881,2,1,-2.6,4.7,-7.8,,,32,,,
1881,2,2,1.1,9.6,-7.8,,,33,,,
1881,2,3,4.6,9.6,-3.7,,,34,,,
1881,2,4,3.1,8.5,-3.3,,,,,,
1881,2,5,0.2,6.3,-5.8,,,,,,
1881,2,6,-1,4.8,-7.3,,,,,,
1881,2,7,-0.2,5.9,-7.3,,,,,,
1881,2,8,0.6,7.2,-7.2,,,,,,
1881,2,9,0.9,9,-4.7,,,,,,
1881,2,10,2.8,11.1,-5.3,,,,,,
1881,2,11,2.2,11.1,-5.3,,,,,,
1881,2,12,0,4.3,-7.5,,,,,,
1881,2,13,0.9,7.6,-7.5,,,,,,
1881,2,14,2,7.6,-5.2,,,,,,
1881,2,15,2.9,7.9,-1.2,,,,,,
1881,2,16,3.2,8.7,-1.2,,,,,,
1881,2,17,2.5,8.7,-1.1,,,,,,
1881,2,18,1.2,7.2,-2.9,,,,,,
1881,2,19,1.4,7.2,-3.7,,,,,,
1881,2,20,3.1,8.4,-3.7,,,,,,
1881,2,21,3.3,8.4,-1.5,,,,,,
1881,2,22,2.2,10.2,-4.3,,,,,,
1881,2,23,4.8,16.3,-4.3,,,,,,
1881,2,24,8.9,16.3,-2.7,,,,,,
1881,2,25,5.5,12.6,-0.4,,,,,,
1881,2,26,2,9.6,-1.2,,,,,,
1881,2,27,3.3,10.2,-3.3,,,,,,
1881,2,28,6.4,12.4,-3.3,,,,,,
1881,3,1,7.2,12.4,1.3,,,,,,
1881,3,2,4.9,12.3,1,,,,,,
1881,3,3,5.1,12.3,0.8,,,,,,
1881,3,4,5,9,-6.1,,,,,,
1881,3,5,1.7,9,-6.1,,,,,,
1881,3,6,-0.2,4.4,-3.2,,,,,,
1881,3,7,0.5,5.8,-3.6,,,,,,
1881,3,8,2.4,6.8,-3.6,,,,,,
1881,3,9,5.7,10.4,-3.1,,,,,,
1881,3,10,7.1,10.4,3.3,,,,,,
1881,3,11,8.5,10.8,3.3,,,,,,
1881,3,12,7.9,10.8,0.3,,,,,,
1881,3,13,6.7,10.2,-0.8,,,,,,
1881,3,14,5.6,9.9,-0.8,,,,,,
1881,3,15,2.5,9.8,-1.9,,,,,,
1881,3,16,1.3,7.2,-3.8,,,,,,
1881,3,17,1.6,9.1,-4.6,,,,,,
1881,3,18,1.2,10.4,-4.7,,,,,,
1881,3,19,2.7,13.9,-4.7,,,,,,
1881,3,20,5.9,13.9,-4.1,,,,,,
1881,3,21,8,12.5,-0.6,,,,,,
1881,3,22,7.3,11.9,2.6,,,,,,
1881,3,23,4.7,9.2,0.6,,,,,,
1881,3,24,3.6,9.2,-2.3,,,,,,
1881,3,25,2.9,8.6,-4.1,,,,,,
1881,3,26,2.9,11.8,-5.1,,,,,,
1881,3,27,4.7,15.4,-5.1,,,,,,
1881,3,28,6.3,15.7,-3.1,,,,,,
1881,3,29,7.3,15.7,-3.1,,,,,,
1881,3,30,8,17.2,-1.1,,,,,,
1881,3,31,7.2,17.2,-1.9,,,,,,
1881,4,1,8.3,18.9,-1.9,,,,,,
1881,4,2,11.3,18.9,-1.8,,,,,,
1881,4,3,10.3,14.1,1.6,,,,,,
1881,4,4,7.8,14.6,-1.6,,,,,,
1881,4,5,8.3,14.6,-1.6,,,,,,
1881,4,6,8.9,12.8,4.4,,,,,,
